solver,method,rep,n_rows,n_cols,margin,noise,tau_true,tau_raw,tau_projected,tau_error_raw,tau_error_projected,tau_shift,baseline_rmse_raw,baseline_rmse_projected,pattern,outcome_mode,baseline_projection,baseline_min_raw,baseline_min_projected,negative_fraction_raw,clipped_fraction,clipped_mass,max_clipped_magnitude
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,-0.004571626453758748,-0.004571626453758748,0.19542837354624126,0.19542837354624126,0.0,0.3631289433977536,0.3619272018187267,sparse,intermittent,clip_nonnegative,-0.2217047514993295,0.0,0.0763888888888889,0.0763888888888889,0.9287411100390726,0.2217047514993295
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-0.37562873345108616,-0.3888876066573237,-0.17562873345108615,-0.18888760665732368,-0.013258873206237531,0.2848111417175832,0.2798276845308401,sparse,intermittent,clip_nonnegative,-0.3045594028525941,0.0,0.13194444444444445,0.13194444444444445,2.219760152133651,0.3045594028525941
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,-0.5892593658477583,-0.5892593658477583,-0.3892593658477583,-0.3892593658477583,0.0,0.4044573954578796,0.4044573954578796,row,dense,clip_nonnegative,0.28447529488540235,0.28447529488540235,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-0.18756442987878186,-0.18756442987878186,0.012435570121218154,0.012435570121218154,0.0,0.32304160268970944,0.32304160268970944,row,dense,clip_nonnegative,0.30002267243963754,0.30002267243963754,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,-0.3626093165722816,-0.3851540842820546,-0.16260931657228161,-0.1851540842820546,-0.022544767709772984,0.3925154723207852,0.3853895597909671,row,intermittent,clip_nonnegative,-0.44952011196896674,0.0,0.09027777777777778,0.09027777777777778,2.70868665723793,0.44952011196896674
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-0.771835131045634,-0.771835131045634,-0.571835131045634,-0.571835131045634,0.0,0.6694083453634164,0.6676019831377658,row,intermittent,clip_nonnegative,-0.30277820148288553,0.0,0.10416666666666667,0.10416666666666667,1.7996148355792878,0.30277820148288553
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,-0.3316849029861465,-0.3316849029861465,-0.1316849029861465,-0.1316849029861465,0.0,0.5529307545677451,0.5529307545677451,staggered,dense,clip_nonnegative,1.6766058832703328,1.6766058832703328,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-0.02435522372314255,-0.02435522372314255,0.17564477627685746,0.17564477627685746,0.0,0.5980497061077558,0.5980497061077558,staggered,dense,clip_nonnegative,1.560075159413414,1.560075159413414,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,-0.2,-0.2471638785289844,-0.27038470235384887,-0.047163878528984376,-0.07038470235384886,-0.023220823824864484,0.4075475792678596,0.39446676976347106,staggered,intermittent,clip_nonnegative,-0.5424493421267995,0.0,0.1111111111111111,0.1111111111111111,2.9415185297992235,0.5424493421267995
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,-0.2,-0.09827488832514034,-0.13163805158491115,0.10172511167485968,0.06836194841508886,-0.03336316325977082,0.5825779713812453,0.5741024078778217,staggered,intermittent,clip_nonnegative,-0.7131156754473303,0.0,0.09722222222222222,0.09722222222222222,2.082528862112557,0.7131156754473303
MCNNM,raw_vs_projected,0,12,12,0.05,0.2,0.2,0.09814234582970535,0.09814234582970535,-0.10185765417029466,-0.10185765417029466,0.0,0.3687071821529356,0.3687071821529356,block,dense,clip_nonnegative,0.3637227960100491,0.3637227960100491,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.2,0.2,0.22927156937649323,0.22927156937649323,0.029271569376493223,0.029271569376493223,0.0,0.48186320642082964,0.48186320642082964,block,dense,clip_nonnegative,0.7535111792106939,0.7535111792106939,0.0,0.0,0.0,-0.0
