method,dc_mode,tau,std,inference_valid,baseline_min,negative_fraction,negative_mass,rank,stable_rank,solver,rep,n_rows,n_cols,margin,noise,tau_true,tau_error,pattern,outcome_mode,method_non_neg,std_available,max_negative_magnitude,projected_design_min_eigenvalue,projected_design_condition_number,residual_frobenius_norm,tau_raw,tau_shift
nonnegative_nnmf,non-convex,0.3532263355842247,,False,0.0,0.0,0.0,2,1.0371498462258075,DebiasConvex,0,12,12,0.05,0.05,0.2,0.15322633558422472,block,dense,nnmf,False,-0.0,8.332217044902649,1.0,4.543928005165257,,
final_clip,non-convex,4.546549577732697,,False,0.0,0.0,0.0,4,1.1483723630310643,DebiasConvex,0,12,12,0.05,0.05,0.2,4.346549577732697,block,dense,,,,,,,10.347377598832425,-5.800828021099728
raw,non-convex,0.25653809978192427,0.17417240061579845,True,0.3001673445775217,0.0,0.0,2,1.0360893078411821,DebiasConvex,1,12,12,0.05,0.05,0.2,0.056538099781924256,block,dense,,,,,,,,
nonnegative_svd,non-convex,0.25653801733132786,,False,0.30016736107348674,0.0,0.0,2,1.0360893074772155,DebiasConvex,1,12,12,0.05,0.05,0.2,0.05653801733132785,block,dense,svd,False,-0.0,8.238229569459623,1.0,5.993333006129371,,
nonnegative_nnmf,non-convex,0.25617551373707226,,False,0.30596675423333913,0.0,0.0,2,1.036072366888483,DebiasConvex,1,12,12,0.05,0.05,0.2,0.05617551373707225,block,dense,nnmf,False,-0.0,8.23786450583819,1.0,5.99334262145082,,
final_clip,non-convex,0.25653809978192427,,False,0.3001673445775217,0.0,0.0,2,1.0360893078411821,DebiasConvex,1,12,12,0.05,0.05,0.2,0.056538099781924256,block,dense,,,,,,,0.25653809978192427,0.0
raw,non-convex,0.35113926245341204,0.0894486256027213,True,-0.5327455439707031,0.2222222222222222,4.890773470366035,2,1.5917744105902474,DebiasConvex,0,12,12,0.05,0.05,0.2,0.15113926245341203,block,intermittent,,,,,,,,
nonnegative_svd,non-convex,0.20422930581320883,,False,0.0,0.0,0.0,9,1.47971925982377,DebiasConvex,0,12,12,0.05,0.05,0.2,0.004229305813208822,block,intermittent,svd,False,-0.0,0.47123994797968344,1.0,3.137920554505166,,
nonnegative_nnmf,non-convex,0.17996054182972318,,False,0.0,0.0,0.0,2,1.4853318030734057,DebiasConvex,0,12,12,0.05,0.05,0.2,-0.02003945817027683,block,intermittent,nnmf,False,-0.0,8.240694812930276,1.0,3.4124689496833374,,
final_clip,non-convex,0.2837864141365173,,False,0.0,0.0,0.0,9,1.4638583258056685,DebiasConvex,0,12,12,0.05,0.05,0.2,0.08378641413651727,block,intermittent,,,,,,,0.35113926245341204,-0.06735284831689475
raw,non-convex,0.17515294009182122,0.18129001492158073,True,-0.27408228921549815,0.10416666666666667,1.816333270723777,2,1.6317856540643414,DebiasConvex,1,12,12,0.05,0.05,0.2,-0.024847059908178787,block,intermittent,,,,,,,,
